category,config,ipc,edp
base,base,1.5226,219.684196523
bp,bp-2lev-GAg,1.4142,223.200095188
bp,bp-2lev-GAp,1.4288,222.499447451
bp,bp-2lev-PAg-l1-16,1.5143,220.955953274
bp,bp-2lev-PAg-l1-2,1.4255,221.831430132
bp,bp-2lev-PAp-l1-2,1.5184,220.173046442
bp,bp-2lev-PAp-l1-4,1.5320,221.834319509
bp,bp-2lev-PAp-l1-8,1.5311,222.406049434
bp,bp-2lev-gshare,1.5259,220.149464122
bp,bp-2lev-hist-16,1.4142,223.798486596
bp,bp-2lev-hist-4,1.5266,218.979130601
bp,bp-2lev-l1-128,1.5378,218.412533194
bp,bp-2lev-l1-64,1.5380,219.701230185
bp,bp-2lev-l1-8,1.4287,220.191021148
bp,bp-2lev-l2-512,1.4108,223.550371624
bp,bp-2lev-xor,1.5235,220.292923267
bp,bp-2lev,1.4288,221.571972671
bp,bp-PAp-l1-2,1.5184,219.285255229
bp,bp-btb-1024-2,1.5230,219.703769918
bp,bp-btb-1024-4,1.5230,225.083479352
bp,bp-btb-128-1,1.4811,203.620745709
bp,bp-btb-128-2,1.5224,209.202291677
bp,bp-btb-2048-2,1.5230,224.318247213
bp,bp-btb-2048-4,1.5230,231.501223661
bp,bp-btb-256-2,1.5228,211.774310838
bp,bp-btb-256-4,1.5230,213.85555752
bp,bp-btb-512-2,1.5229,217.92738586
bp,bp-btb-64-1,1.3987,199.743956549
bp,bp-btb-64-2,1.4914,205.068492222
bp,bp-comb-2048,1.5270,220.726313224
bp,bp-comb-512,1.5269,219.542432504
bp,bp-comb,1.5270,219.926304497
bp,bp-no-ras,1.2846,218.168256839
bp,bp-nottaken,0.7513,272.760358572
bp,bp-perfect,1.5078,199.341364147
bp,bp-ras-16,1.5231,220.795697031
bp,bp-taken,0.7578,281.584774141
dp,dp-decode-2,1.2894,228.320813096
dp,dp-decode-8,1.5230,221.159470864
dp,dp-decode-issue-8,1.5323,298.638495449
dp,dp-inorder,0.8050,210.342942464
dp,dp-issue-2,1.2087,180.590328509
dp,dp-issue-8,1.5323,298.454247204
dp,dp-ruu-32,1.5756,264.517556824
dp,dp-ruu-64,1.5779,318.702999787
dp,dp-ruu-8,1.2721,201.050465885
func,func-alu-2,1.4094,209.630091049
func,func-alu-6,1.5230,229.495961516
func,func-alu-8,1.5230,239.388791792
func,func-fpalu-1,1.5160,187.153044093
func,func-fpalu-2,1.5230,198.540948969
func,func-fpalu-6,1.5230,242.558603407
func,func-fpmul-2,1.5347,221.123943818
func,func-imul-2,1.5230,221.429483274
func,func-imult-3,1.5230,219.94164661
mem,mem-dl1-256-sets,1.5238,248.481659263
mem,mem-dl1-512-sets,1.5238,292.32150804
mem,mem-dl1-64-sets,1.5186,200.627522146
mem,mem-dl1-assoc-2,1.5224,217.522572198
mem,mem-dl1-assoc-8,1.5233,223.672929163
mem,mem-dl1-bsize-128,0.1143,529.48735875
mem,mem-dl1-bsize-16,1.5223,223.462565072
mem,mem-dl1-bsize-64,1.5233,216.737981434
mem,mem-dl1-replace-fifo,1.5225,221.417331989
mem,mem-dl1-replace-random,1.5217,219.777123307
mem,mem-dl2-assoc-2,1.5218,220.698818702
mem,mem-dl2-assoc-8,1.5231,223.15710572
mem,mem-dl2-bsize-128,1.5230,223.76275356
mem,mem-dl2-bsize-32,1.5230,217.050254281
mem,mem-dl2-replace-fifo,1.5228,220.071306608
mem,mem-dl2-replace-random,1.5226,220.309265464
mem,mem-dl2-separated-assoc-2,1.5229,219.146825724
mem,mem-dl2-separated-assoc-8,1.5231,222.78201624
mem,mem-dl2-separated-bsize-128,1.5231,219.989718134
mem,mem-dl2-separated-bsize-32,1.5231,216.255913383
mem,mem-dl2-separated-replace-fifo,1.5230,220.415380076
mem,mem-dl2-separated-replace-random,1.5229,221.260706213
mem,mem-dl2-separated-sets-2048,1.5231,221.294456478
mem,mem-dl2-separated-sets-512,1.5230,217.315358179
mem,mem-dl2-sets-2048,1.5231,221.265527522
mem,mem-dl2-sets-512,1.5223,216.822297748
mem,mem-il1-1024-sets,1.7466,275.48018496
mem,mem-il1-2048-sets,1.7495,334.920604453
mem,mem-il1-256-sets,1.0784,200.543866103
mem,mem-il1-assoc-2,1.7473,266.745342465
mem,mem-il1-assoc-4,1.7495,336.247424546
mem,mem-il1-bsize-16,1.4704,239.860826391
mem,mem-il1-bsize-64,1.6141,219.350344128
mem,mem-il1-fifo,1.5217,220.14022329
mem,mem-il1-random,1.5217,219.738666697
mem,mem-il2-separated-assoc-2,1.5231,220.622347382
mem,mem-il2-separated-assoc-8,1.5231,219.99933307
mem,mem-il2-separated-bsize-128,1.5215,218.329793447
mem,mem-il2-separated-bsize-32,1.5230,219.691759358
mem,mem-il2-separated-replace-fifo,1.5231,219.932032935
mem,mem-il2-separated-replace-random,1.5231,221.267938196
mem,mem-il2-separated-sets-2048,1.5231,219.847922246
mem,mem-il2-separated-sets-512,1.5231,220.711421338
